title,details,date,time,location,url,image_url,source
Christmas Daylight Express,N/A,11-22,Open link for time,Tennessee Valley Railroad Museum,https://www.visitchattanooga.com/event/christmas-daylight-express/22100/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/IMG_5253-1-scaled-1-_0FD115EB-26FF-4555-B7AF21869936FE99_bbefb16f-7d6f-43a7-9184c09006fb9938.jpg",Visit Chattanooga
Exhibit Admission,N/A,11-22,Open link for time,Tennessee Valley Railroad Museum,https://www.visitchattanooga.com/event/exhibit-admission/17763/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Tennessee-Valley-Railroad-Museum-Exhibit-Building-03-scaled_4F4495E7-023E-49F5-89D214567AE32153_fc60f811-20ec-4b1f-80574d7f0d0d1c4a.jpg",Visit Chattanooga
Friday Night Wine & Live Jazz,N/A,11-22,Open link for time,Forge Restaurant,https://www.visitchattanooga.com/event/friday-night-wine-%26-live-jazz/19722/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/clients/chattanooga/chattanooga_default_170b93b4-2635-4fb3-84b2-7c68ad33306f.jpg",Visit Chattanooga
Friendsgiving Feast for Four,N/A,11-22,Open link for time,Zaya 1943 Korean Steakhouse,https://www.visitchattanooga.com/event/friendsgiving-feast-for-four/22017/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Zaya-Overhead_263AD407-84B0-4B7E-96F516E3FF4DE400_c72640c2-7fde-4e48-98ad7365d5ebb72e.jpg",Visit Chattanooga
Gladiator II in IMAX!,N/A,11-22,Open link for time,Tennessee Aquarium,https://www.visitchattanooga.com/event/gladiator-ii-in-imax!/21940/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Gladiator2_Theatrical_Cinema_1920x1080_Date_80BA6B85-DE2F-43C2-827FF4CBF7FB4C8C_a85ad6c1-16ac-47c9-831b1d0bf98d9bb2.jpg",Visit Chattanooga
Hiwassee Loop Train Ride,N/A,11-22,Open link for time,"Tennessee Valley Railroad Museum's Delano Parking Area (9401 HWY 411, Delano, TN, 37325)",https://www.visitchattanooga.com/event/hiwassee-loop-train-ride/10467/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/314767172_10227984540740419_2636836214744908067_n_53F3D92A-0FFB-451B-87B931E6F607659B_47b3aad8-d04c-44d1-8a32bdd62e60dc0e.jpg",Visit Chattanooga
Jesse Black Live at Creekside Bar + Grille,N/A,11-22,Open link for time,Creekside Bar + Grille,https://www.visitchattanooga.com/event/jesse-black-live-at-creekside-bar-%2b-grille/22076/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Jesse-Black-Creekside-_8B3EB249-F568-20BB-BE0F6BC4AAA55BB2_8b402cd5-cfca-7eaf-bc5497c687930924.jpg",Visit Chattanooga
Live Music at Creekside Every Friday,N/A,11-22,Open link for time,Creekside Bar + Grille,https://www.visitchattanooga.com/event/live-music-at-creekside-every-friday/20183/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/creekside_C516340B-ED3E-B6F5-DBD01900DEB8248C_c516bb3e-00d0-0e61-568e46423a3476a1.jpg",Visit Chattanooga
Live Music Every Friday with Mark Andrew at Nic 'n Norman's,N/A,11-22,Open link for time,Nic & Norman's,https://www.visitchattanooga.com/event/live-music-every-friday-with-mark-andrew-at-nic-n-normans/21298/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/Mark-Andrew-N-N-2-copy-4_C3831E66-C2D0-DBD4-9817E27EF4CEE1BF_c3c3c441-ca34-4c70-3ebf1bdfcfd2b5eb.jpg",Visit Chattanooga
Live Music Friday Nights,N/A,11-22,Open link for time,SpringHill Suites/Ooltewah,https://www.visitchattanooga.com/event/live-music-friday-nights/21945/,"https://assets.simpleviewinc.com/simpleview/image/upload/c_fill,h_227,q_75,w_340/v1/crm/chattanooga/November-Creekside-Monthly-Line-up-_67BED03E-624F-459A-9763CD6E0DFD8789_6719f780-63d2-47b2-8c5920bc552bd03a.jpg",Visit Chattanooga
